survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size,is_alone
1,3,0,9.0,0.0,2.0,20.525,S,Third,child,False,C,Southampton,1,False,3.0,0
1,1,1,28.25,0.0,1.0,55.0,S,First,woman,False,E,Southampton,1,False,2.0,0
0,3,1,45.0,1.0,2.5,27.9,S,Third,woman,False,C,Southampton,0,False,4.5,0
0,1,0,28.25,0.0,0.0,25.925,S,First,man,True,C,Southampton,0,True,1.0,1
0,3,0,28.0,0.0,0.0,56.4958,S,Third,man,True,C,Southampton,0,True,1.0,1
0,1,0,57.0,0.0,0.0,33.5,S,First,man,True,B,Southampton,0,True,1.0,1
0,3,0,4.0,2.5,1.0,29.125,Q,Third,child,False,C,Queenstown,0,False,4.5,0
1,3,1,1.0,1.0,1.0,11.1333,S,Third,child,False,C,Southampton,1,False,3.0,0
0,1,0,56.0,0.0,0.0,30.6958,C,First,man,True,A,Cherbourg,0,True,1.0,1
0,3,0,18.0,1.0,1.0,7.8542,S,Third,man,True,C,Southampton,0,False,3.0,0
0,3,0,28.25,2.5,1.0,25.4667,S,Third,man,True,C,Southampton,0,False,4.5,0
0,1,1,50.0,0.0,0.0,28.7125,C,First,woman,False,C,Cherbourg,0,True,1.0,1
0,2,0,30.0,0.0,0.0,13.0,S,Second,man,True,C,Southampton,0,True,1.0,1
0,3,0,36.0,0.0,0.0,0.0,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,1,28.25,2.5,2.0,69.55,S,Third,woman,False,C,Southampton,0,False,5.5,0
0,2,0,28.25,0.0,0.0,15.05,C,Second,man,True,C,Cherbourg,0,True,1.0,1
0,3,0,9.0,2.5,2.0,31.3875,S,Third,child,False,C,Southampton,0,False,5.5,0
1,2,0,1.0,2.0,1.0,39.0,S,Second,child,False,F,Southampton,1,False,4.0,0
1,3,1,4.0,0.0,2.0,22.025,S,Third,child,False,C,Southampton,1,False,3.0,0
0,1,0,28.25,0.0,0.0,50.0,S,First,man,True,A,Southampton,0,True,1.0,1
1,3,1,28.25,1.0,0.0,15.5,Q,Third,woman,False,C,Queenstown,1,False,2.0,0
1,1,0,45.0,0.0,0.0,26.55,S,First,man,True,C,Southampton,1,True,1.0,1
0,3,0,40.0,1.0,1.0,15.5,Q,Third,man,True,C,Queenstown,0,False,3.0,0
0,3,0,36.0,0.0,0.0,7.8958,S,Third,man,True,C,Southampton,0,True,1.0,1
1,2,1,32.0,0.0,0.0,13.0,S,Second,woman,False,C,Southampton,1,True,1.0,1
0,2,0,19.0,0.0,0.0,13.0,S,Second,man,True,C,Southampton,0,True,1.0,1
1,3,1,19.0,1.0,0.0,7.8542,S,Third,woman,False,C,Southampton,1,False,2.0,0
1,2,0,3.0,1.0,1.0,26.0,S,Second,child,False,F,Southampton,1,False,3.0,0
1,1,1,44.0,0.0,0.0,27.7208,C,First,woman,False,B,Cherbourg,1,True,1.0,1
1,1,1,57.0,0.0,0.0,73.198375,C,First,woman,False,B,Cherbourg,1,True,1.0,1
0,3,0,42.0,0.0,1.0,8.4042,S,Third,man,True,C,Southampton,0,False,2.0,0
0,2,1,24.0,0.0,0.0,13.0,S,Second,woman,False,C,Southampton,0,True,1.0,1
0,3,0,28.0,0.0,0.0,9.5,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,34.0,0.0,0.0,6.4958,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,45.5,0.0,0.0,7.225,C,Third,man,True,C,Cherbourg,0,True,1.0,1
1,3,0,18.0,0.0,0.0,8.05,S,Third,man,True,C,Southampton,1,True,1.0,1
0,3,1,2.0,0.0,1.0,10.4625,S,Third,child,False,G,Southampton,0,False,2.0,0
0,3,0,32.0,1.0,0.0,15.85,S,Third,man,True,C,Southampton,0,False,2.0,0
1,3,0,26.0,0.0,0.0,18.7875,C,Third,man,True,C,Cherbourg,1,True,1.0,1
1,3,1,16.0,0.0,0.0,7.75,Q,Third,woman,False,C,Queenstown,1,True,1.0,1
1,1,0,40.0,0.0,0.0,31.0,C,First,man,True,A,Cherbourg,1,True,1.0,1
0,3,0,24.0,0.0,0.0,7.05,S,Third,man,True,C,Southampton,0,True,1.0,1
1,2,1,35.0,0.0,0.0,21.0,S,Second,woman,False,C,Southampton,1,True,1.0,1
0,3,0,22.0,0.0,0.0,7.25,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,28.25,1.0,0.0,7.75,Q,Third,man,True,C,Queenstown,0,False,2.0,0
1,1,1,31.0,1.0,0.0,73.198375,C,First,woman,False,D,Cherbourg,1,False,2.0,0
1,3,1,27.0,0.0,0.0,7.925,S,Third,woman,False,C,Southampton,1,True,1.0,1
0,2,0,42.0,1.0,0.0,27.0,S,Second,man,True,C,Southampton,0,False,2.0,0
1,1,1,32.0,0.0,0.0,73.198375,C,First,woman,False,D,Cherbourg,1,True,1.0,1
0,2,0,30.0,0.0,0.0,10.5,S,Second,man,True,C,Southampton,0,True,1.0,1
1,3,0,16.0,0.0,0.0,8.05,S,Third,man,True,C,Southampton,1,True,1.0,1
0,2,0,27.0,0.0,0.0,13.0,S,Second,man,True,C,Southampton,0,True,1.0,1
0,3,0,51.0,0.0,0.0,8.05,S,Third,man,True,C,Southampton,0,True,1.0,1
1,1,0,38.0,1.0,0.0,73.198375,S,First,man,True,C,Southampton,1,False,2.0,0
0,3,0,22.0,0.0,0.0,9.35,S,Third,man,True,C,Southampton,0,True,1.0,1
1,2,0,19.0,0.0,0.0,10.5,S,Second,man,True,C,Southampton,1,True,1.0,1
0,3,0,20.5,0.0,0.0,7.25,S,Third,man,True,C,Southampton,0,True,1.0,1
0,2,0,18.0,0.0,0.0,13.0,S,Second,man,True,C,Southampton,0,True,1.0,1
0,3,1,28.25,2.5,1.0,25.4667,S,Third,woman,False,C,Southampton,0,False,4.5,0
1,1,1,35.0,1.0,0.0,73.198375,S,First,woman,False,C,Southampton,1,False,2.0,0
0,3,0,29.0,0.0,0.0,7.775,S,Third,man,True,C,Southampton,0,True,1.0,1
0,2,0,57.0,0.0,0.0,13.5,S,Second,man,True,C,Southampton,0,True,1.0,1
1,3,1,5.0,2.5,2.0,31.3875,S,Third,child,False,C,Southampton,1,False,5.5,0
0,2,0,24.0,0.0,0.0,10.5,S,Second,man,True,C,Southampton,0,True,1.0,1
0,3,1,28.25,0.0,0.0,7.55,S,Third,woman,False,C,Southampton,0,True,1.0,1
0,2,0,44.0,1.0,0.0,26.0,S,Second,man,True,C,Southampton,0,False,2.0,0
1,2,1,8.0,0.0,2.0,26.25,S,Second,child,False,C,Southampton,1,False,3.0,0
0,2,0,19.0,0.0,0.0,10.5,S,Second,man,True,C,Southampton,0,True,1.0,1
0,2,0,33.0,0.0,0.0,12.275,S,Second,man,True,C,Southampton,0,True,1.0,1
0,3,1,28.25,1.0,0.0,14.4542,C,Third,woman,False,C,Cherbourg,0,False,2.0,0
0,2,0,29.0,0.0,0.0,10.5,S,Second,man,True,C,Southampton,0,True,1.0,1
0,3,0,22.0,0.0,0.0,7.125,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,30.0,0.0,0.0,7.225,C,Third,man,True,C,Cherbourg,0,True,1.0,1
0,1,0,44.0,2.0,0.0,73.198375,Q,First,man,True,C,Queenstown,0,False,3.0,0
0,3,1,25.0,0.0,0.0,7.775,S,Third,woman,False,C,Southampton,0,True,1.0,1
1,2,1,24.0,0.0,2.0,14.5,S,Second,woman,False,C,Southampton,1,False,3.0,0
1,1,0,37.0,1.0,1.0,52.5542,S,First,man,True,D,Southampton,1,False,3.0,0
0,2,0,54.0,1.0,0.0,26.0,S,Second,man,True,C,Southampton,0,False,2.0,0
0,3,0,28.25,0.0,0.0,7.25,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,1,29.0,1.0,1.0,10.4625,S,Third,woman,False,G,Southampton,0,False,3.0,0
0,1,0,57.0,0.0,0.0,26.55,S,First,man,True,C,Southampton,0,True,1.0,1
0,3,0,30.0,1.0,0.0,16.1,S,Third,man,True,C,Southampton,0,False,2.0,0
0,3,1,41.0,0.0,2.0,20.2125,S,Third,woman,False,C,Southampton,0,False,3.0,0
1,3,1,29.0,0.0,2.0,15.2458,C,Third,woman,False,C,Cherbourg,1,False,3.0,0
1,1,1,28.25,0.0,0.0,73.198375,C,First,woman,False,C,Cherbourg,1,True,1.0,1
1,1,1,30.0,0.0,0.0,73.198375,S,First,woman,False,B,Southampton,1,True,1.0,1
1,1,1,35.0,0.0,0.0,73.198375,C,First,woman,False,C,Cherbourg,1,True,1.0,1
1,2,1,50.0,0.0,1.0,26.0,S,Second,woman,False,C,Southampton,1,False,2.0,0
1,3,0,3.0,2.5,2.0,31.3875,S,Third,child,False,C,Southampton,1,False,5.5,0
0,1,0,52.0,1.0,1.0,73.198375,S,First,man,True,E,Southampton,0,False,3.0,0
0,1,0,40.0,0.0,0.0,0.0,S,First,man,True,B,Southampton,0,True,1.0,1
0,3,1,28.25,0.0,0.0,7.75,Q,Third,woman,False,C,Queenstown,0,True,1.0,1
0,2,0,36.0,0.0,0.0,10.5,S,Second,man,True,C,Southampton,0,True,1.0,1
0,3,0,16.0,2.5,1.0,39.6875,S,Third,man,True,C,Southampton,0,False,4.5,0
1,3,0,25.0,1.0,0.0,7.775,S,Third,man,True,C,Southampton,1,False,2.0,0
1,1,1,57.0,0.0,1.0,73.198375,S,First,woman,False,C,Southampton,1,False,2.0,0
1,1,1,35.0,0.0,0.0,73.198375,S,First,woman,False,C,Southampton,1,True,1.0,1
0,1,0,28.25,0.0,0.0,31.0,S,First,man,True,C,Southampton,0,True,1.0,1
1,3,0,25.0,0.0,0.0,0.0,S,Third,man,True,C,Southampton,1,True,1.0,1
1,2,1,41.0,0.0,1.0,19.5,S,Second,woman,False,C,Southampton,1,False,2.0,0
0,1,0,37.0,0.0,1.0,29.7,C,First,man,True,C,Cherbourg,0,False,2.0,0
1,1,1,57.0,1.0,0.0,73.198375,S,First,woman,False,D,Southampton,1,False,2.0,0
0,3,1,45.0,0.0,0.0,7.75,S,Third,woman,False,C,Southampton,0,True,1.0,1
0,2,0,28.25,0.0,0.0,0.0,S,Second,man,True,C,Southampton,0,True,1.0,1
0,3,0,7.0,2.5,1.0,29.125,Q,Third,child,False,C,Queenstown,0,False,4.5,0
1,3,1,35.0,1.0,1.0,20.25,S,Third,woman,False,C,Southampton,1,False,3.0,0
0,3,0,57.0,0.0,0.0,7.75,Q,Third,man,True,C,Queenstown,0,True,1.0,1
0,3,0,28.0,0.0,0.0,7.8542,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,16.0,0.0,0.0,9.5,S,Third,man,True,C,Southampton,0,True,1.0,1
1,3,0,19.0,0.0,0.0,8.05,S,Third,man,True,C,Southampton,1,True,1.0,1
0,1,0,28.25,0.0,0.0,26.0,S,First,man,True,A,Southampton,0,True,1.0,1
0,3,0,33.0,0.0,0.0,8.6625,C,Third,man,True,C,Cherbourg,0,True,1.0,1
1,3,0,30.0,0.0,0.0,9.5,S,Third,man,True,C,Southampton,1,True,1.0,1
0,3,0,22.0,0.0,0.0,7.8958,S,Third,man,True,C,Southampton,0,True,1.0,1
1,2,0,42.0,0.0,0.0,13.0,S,Second,man,True,C,Southampton,1,True,1.0,1
1,3,1,22.0,0.0,0.0,7.75,Q,Third,woman,False,C,Queenstown,1,True,1.0,1
1,1,1,26.0,0.0,0.0,73.198375,S,First,woman,False,C,Southampton,1,True,1.0,1
1,1,1,19.0,1.0,0.0,73.198375,C,First,woman,False,B,Cherbourg,1,False,2.0,0
0,2,0,36.0,0.0,0.0,12.875,C,Second,man,True,D,Cherbourg,0,True,1.0,1
0,3,1,24.0,0.0,0.0,8.85,S,Third,woman,False,C,Southampton,0,True,1.0,1
0,3,0,24.0,0.0,0.0,7.8958,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,23.5,0.0,0.0,7.2292,C,Third,man,True,C,Cherbourg,0,True,1.0,1
0,1,1,2.0,1.0,2.0,73.198375,S,First,child,False,C,Southampton,0,False,4.0,0
1,1,0,28.25,0.0,0.0,30.5,S,First,man,True,C,Southampton,1,True,1.0,1
1,1,1,50.0,0.0,1.0,73.198375,C,First,woman,False,B,Cherbourg,1,False,2.0,0
1,3,0,28.25,2.0,0.0,23.25,Q,Third,man,True,C,Queenstown,1,False,3.0,0
